Virus name,Pango lineage,Collection date,D614G,N501Y,A570D,P681H,T716I,S982A,D1118H,del69/70,del144
hCoV-19/USA/IL-UW-2741/2021,B.1.2,2021-01-07,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-STM-A100441/2021,B.1.2,2021-01-06,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-STM-A100434/2021,B.1.596,2021-01-06,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-STM-A100182/2021,B.1.2,2021-01-04,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-NM5863/2021,P.2,2021-01-05,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-QDX-3080/2021,B.1.2,2021-01-07,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-STM-A100341/2021,B.1.2,2021-01-05,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-STM-A100264/2021,B.1.240,2021-01-04,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-STM-0000013-F06/2021,B.1.2,2021-01-14,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC0004143/2021,B.1.2,2021-01-03,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC0004141/2021,B.1.2,2021-01-03,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC0004152/2021,B.1.2,2021-01-02,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC0004116/2021,B.1.2,2021-01-02,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC0005264/2021,B.1.1.519,2021-01-09,True,False,False,True,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC0004092/2021,B.1.1.519,2021-01-02,True,False,False,True,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC0004109/2021,B.1.349,2021-01-02,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC0005365/2021,B.1.2,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC0005263/2021,B.1.2,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC0004155/2021,B.1.2,2021-01-02,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC0004158/2021,B.1.361,2021-01-02,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC0003285/2021,B.1.429,2021-01-11,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC0004144/2021,B.1.2,2021-01-02,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC0005261/2021,B.1.2,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC0004094/2021,B.1.2,2021-01-03,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC0005256/2021,B.1.2,2021-01-09,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC0003041/2021,B.1.2,2021-01-08,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC0004148/2021,B.1.2,2021-01-02,True,False,False,False,False,False,False,False,False
hCoV-19/USA/IL-CDC-LC0004157/2021,B.1.2,2021-01-03,True,False,False,False,False,False,False,False,False
